zinc
1900,19807
1901,21049
1902,35835
1903,25953
1904,26482
1905,28420
1906,29448
1907,25995
1908,26461
1909,22293
1910,25905
1911,27259
1912,28918
1913,29375
1914,26500
1915,23802
1916,22233
1917,25442
1918,23448
1919,18879
1920,27344
1921,34689
1922,21360
1923,26633
1924,18940
1925,20775
1926,14928
1927,15006
1928,15626
1929,15922
1930,20419
1931,14815
1932,13664
1933,12567
1934,11136
1935,14520
1936,19206
1937,21359
1938,20515
1939,22650
1940,23063
1941,16604
1942,18911
1943,18996
1944,14859
1945,13505
1946,20392
1947,28224
1948,27676
1949,31537
1950,30390
1951,27571
1952,22308
1953,22272
1954,30552
1955,25606
1956,26116
1957,23461
1958,24183
1959,30024
1960,29818
1961,34489
1962,33722
1963,42904
1964,32493
1965,34999
1966,40847
1967,38926
1968,37067
1969,33718
1970,36969
1971,39026
1972,34164
1973,33762
1974,33318
1975,41232
1976,47440
1977,36934
1978,46002
1979,41160
1980,60414
1981,45761
1982,49059
1983,56437
1984,59154
1985,56938
1986,53345
1987,47064
1988,53134
1989,50485
1990,57379
1991,59703
1992,51928
1993,64588
1994,61659
1995,62672
1996,55919
1997,67707
1998,64661
1999,65899
2000,81393
2001,66540
2002,77227
2003,76493
2004,82444
2005,76394
2006,78801
2007,91324
2008,135102
zeros
1900,131
1901,98
1902,181
1903,163
1904,151
1905,225
1906,233
1907,105
1908,228
1909,164
1910,220
1911,157
1912,154
1913,304
1914,297
1915,142
1916,266
1917,205
1918,176
1919,240
1920,364
1921,263
1922,356
1923,387
1924,229
1925,336
1926,284
1927,472
1928,407
1929,510
1930,377
1931,440
1932,224
1933,387
1934,367
1935,867
1936,348
1937,812
1938,681
1939,619
1940,636
1941,701
1942,890
1943,663
1944,576
1945,875
1946,889
1947,1553
1948,1053
1949,1343
1950,1381
1951,2324
1952,3414
1953,2571
1954,1923
1955,5085
1956,2361
1957,4809
1958,7480
1959,5060
1960,6475
1961,6325
1962,7104
1963,6486
1964,7432
1965,8723
1966,6815
1967,7329
1968,7830
1969,7327
1970,6473
1971,5546
1972,6676
1973,6141
1974,5171
1975,6865
1976,6527
1977,8191
1978,7930
1979,6821
1980,8107
1981,7313
1982,7085
1983,7324
1984,9410
1985,10579
1986,12509
1987,12646
1988,11691
1989,13822
1990,14071
1991,13293
1992,17147
1993,16063
1994,14696
1995,15748
1996,14428
1997,16542
1998,15399
1999,17190
2000,19486
2001,20308
2002,25132
2003,23893
2004,23144
2005,22112
2006,21428
2007,22035
2008,18883
zodiac
1900,628
1901,672
1902,699
1903,575
1904,786
1905,597
1906,613
1907,707
1908,731
1909,471
1910,575
1911,617
1912,879
1913,605
1914,749
1915,404
1916,457
1917,662
1918,404
1919,437
1920,754
1921,720
1922,530
1923,978
1924,394
1925,687
1926,424
1927,508
1928,801
1929,715
1930,511
1931,740
1932,705
1933,278
1934,348
1935,506
1936,555
1937,406
1938,531
1939,555
1940,565
1941,709
1942,445
1943,276
1944,441
1945,360
1946,763
1947,476
1948,1017
1949,896
1950,679
1951,704
1952,1444
1953,1035
1954,816
1955,785
1956,1025
1957,936
1958,2356
1959,1043
1960,1263
1961,1151
1962,1237
1963,1732
1964,1459
1965,1181
1966,1514
1967,1432
1968,2636
1969,2748
1970,2245
1971,3221
1972,2213
1973,2193
1974,2889
1975,2232
1976,2399
1977,2662
1978,3229
1979,2232
1980,2488
1981,2016
1982,2448
1983,2492
1984,2674
1985,3118
1986,2760
1987,4022
1988,3894
1989,3273
1990,4191
1991,4440
1992,5103
1993,4183
1994,5911
1995,5037
1996,6387
1997,5865
1998,6595
1999,6206
2000,6846
2001,7893
2002,9922
2003,12765
2004,13787
2005,9535
2006,10921
2007,11455
2008,12316
zero
1900,13578
1901,11399
1902,14369
1903,16021
